nconst,primaryName,birthYear,deathYear,profession,tconst
nm0193683,Fionagh Cush,\N,\N,actress,tt6791350
nm0194201,John Cygan,1954,2017,actor,tt0371746
nm0194272,Camille Cyr-Desmarais,\N,\N,actress,tt4154796
nm0194272,Camille Cyr-Desmarais,\N,\N,actress,tt4154756
nm0194992,Zezé d'Alice,\N,\N,actress,tt0800080
nm0195120,Domitilla D'Amico,1982,\N,actress,tt4154796
nm0195355,Julie D'Antoni,\N,\N,actress,tt0800080
nm0196827,Amanda Dague,\N,\N,actress,tt0800080
nm0197638,Alan Dale,1947,\N,actor,tt1843866
nm0197647,James Badge Dale,1978,\N,actor,tt1300854
nm0197653,Caroline Dale,\N,\N,actress,tt10676052
nm0197653,Caroline Dale,\N,\N,actress,tt10648342
nm0197855,John Francis Daley,1985,\N,actor,tt2250912
nm0198366,Tony Dalton,1975,\N,actor,tt18923754
nm0198366,Tony Dalton,1975,\N,actor,tt10160804
nm0198849,Claus-Peter Damitz,\N,\N,actor,tt4154756
nm0199495,Maxwell McCabe-Lokos,1978,\N,actor,tt0800080
nm0199817,Chris Daniels,1976,\N,actor,tt1825683
nm0199817,Chris Daniels,1976,\N,actor,tt4154796
nm0200034,Max Daniels,\N,\N,actor,tt0371746
nm0200333,Patrice-Luc Doumeyrou,1955,\N,actor,tt0458339
nm0200333,Patrice-Luc Doumeyrou,1955,\N,actor,tt14513804
nm0200940,Arthur Darbinyan,\N,\N,actor,tt0848228
nm0202365,Tyler C. Daum,1961,\N,actor,tt1300854
nm0202981,Lorelei David,\N,\N,actress,tt0371746
nm0203811,Laurence Davies,\N,\N,actor,tt4154756
nm0203919,Ray Davies,1944,\N,actor,tt4154796
nm0204400,Darrell Davis,\N,\N,actor,tt0458339
nm0204706,Hope Davis,1964,\N,actress,tt3498820
nm0204945,Katy Davis,\N,\N,actress,tt2395427
nm0205473,Skeeter Davis,1931,2004,actress,tt9032400
nm0207218,Isaach De Bankolé,1957,\N,actor,tt1825683
nm0207534,Barbara De Bortoli,1971,\N,actress,tt10872600
nm0210875,Darin De Paul,1960,\N,actor,tt10168312
nm0211178,Jonas De Ro,\N,\N,actor,tt2015381
nm0212278,David de Vries,1958,\N,actor,tt3498820
nm0212604,Vince Deadrick Jr.,1954,\N,actor,tt0371746
nm0213721,Nathan December,\N,\N,actor,tt0371746
nm0213721,Nathan December,\N,\N,actor,tt0800369
nm0214490,Michael Deffert,1968,2021,actor,tt1843866
nm0214490,Michael Deffert,1968,2021,actor,tt5095030
nm0215728,Carlos del Pino,\N,\N,actor,tt4154756
nm0216823,Ortis Deley,\N,\N,actor,tt10676052
nm0219206,Alexis Denisof,1966,\N,actor,tt2015381
nm0219206,Alexis Denisof,1966,\N,actor,tt0848228
nm0219778,Steve Dent,1963,\N,actor,tt0458339
nm0220027,Carol DePasquale,\N,\N,actress,tt9376612
nm0220166,Jim DePue,\N,\N,actor,tt1228705
nm0220490,Ross DeRoche,\N,\N,actor,tt0800080
nm0220548,Joel Derouin,\N,\N,actor,tt10872600
nm0220783,Des'ree,1968,\N,actress,tt4154664
nm0220792,Frédéric Desager,\N,\N,actor,tt4154796
nm0221152,Martin Desgagné,\N,\N,actor,tt4154796
nm0223172,Thomas Dewier,\N,\N,actor,tt3498820
nm0223308,John Dexter,\N,\N,actor,tt0458339
nm0223520,Sébastien Dhavernas,1950,\N,actor,tt10872600
nm0224213,Italo Di Pinto,\N,\N,actor,tt2395427
nm0225051,Suzanne Diaz,\N,\N,actress,tt4154664
nm0225460,Dale Dickey,1961,\N,actress,tt1300854
nm0225812,Tony Didio Jr.,\N,\N,actor,tt0458339
nm0227454,John Dimond,\N,\N,actor,tt2395427
nm0227589,Carol Dines,\N,\N,actress,tt10872600
